chunks,pages
"uite 375 373 Metropolis, MI 48201
DO-BO REPRESENTATIVE 14. DATE 11A. Presumptive Disability ☐ 11B.
Impairment ☐ JOHN SMITH 888-999-1234
DETERMINATION PURSUANT TO THE SOCIAL SECURITY ACT, AS AMENDED
CLAIMANT DISABLED 16A. PRIMARY DIAGNOSIS 16B. SECONDARY
DIAGNOSIS A. ☐ Disability Osteoarthrosis & Allied D Began isorders B. ☐
Disability BODY SYS. 01 None Established (Med.Evd Ceased CODE NO. 7150 .-
Insuf.to Est. Diagnosis)
DIARY TYPE MO/YR. REASON CODE NO. 6490
CASE OF BLINDNESS AS DEFINED IN SEC. 1614(a)(2)/(216)(i) 19. CLAIMANT
NOT DISABLED
A. ☐ Not Disab. for Cash Bene. A. X Through Date of B. ☐ Through C. ☐ Before Age
22 Purp. Current Determination (CDB Only) B. ☐ Disab. for Cash Benefit OCC YRS.
0 ED YRS. 12 Purp. Beg.
VOCATIONAL BACKGROUND 21. VR ACTION SC IN SC OUT Prev Ref
1. 
1. 
2.",16.0
" Purp. Beg.
VOCATIONAL BACKGROUND 21. VR ACTION SC IN SC OUT Prev Ref
1. 
1. 
2. 
3. 
4. 
5. 
6. 
1. 
2. 
3. 
1. 
",16.0
"REG-BASIS CODE 23. MED LIST NO. 24. MOB CODE 25. REVISED 25A. Initial
Recon Recon DHU ALJ Hearing Appeals Council U.S. District Court N32 DET
☐ X ☐ ☐ ☐ ☐ ☐ ☐
LIST NO. A. B. C. D. E. F.
RATIONALE ☐ See Attached SSA-4268-U4/C4 X Check If Vocational 20214
Rule Met. Cite Rule
A. ☐ Period of Disability B. ☐ Disability Period C. ☐ Estab Beg AND D. ☐
Continues E. ☐ Term
LTR/PAR NO. 30. DISABILITY EXAMINER-DDS 31. DATE 32. PHYSICIAN OR
MEDICAL SPEC. SIGNATURE 33. DATE Sarah Johnson 4/28/23 See Form DDE
Dated: 04/28/23
32A. PHYSICIAN OR MEDICAL SPEC. NAME (Stamp, Print, or Type) 32B. SPEC.
CODE Dr. Eleanor Vance (019) 19
REMARKS MULTIPLE IMPAIRMENTS CER:N EOR:Y DAA: SNO:NO
CONSIDERED
34A. COMBINED MULTIPLE NONSEVERE-SEVERE
34B. COMBIPLE MULTIPLE NONSEVERE-NONSEVERE
BASIS CODE 36. REV. DET. CODES 37",17.0
"ERE
34B. COMBIPLE MULTIPLE NONSEVERE-NONSEVERE
BASIS CODE 36. REV. DET. CODES 37. NBA REPRESENTATIVE NBA CODE 38.
DATE
Form NBA-777-A1 (1/23) Previous editions may be used
Electronic Input: ☐ DECISION 987654 ☐ CASE CONTROL Case Number
2. 
3. 
4. 
5. 
6. 
1. 
1. 
",17.0
"Disability Determination Explanation
This Disability Determination Explanation is for the DI claim(s) at the Recon level.
Claimant Information
Claimant Information
Name: Arthur Miller SSN: 456-12-7890 Claimant Gender: Male Current Age: 57
years 8 months (Advanced Age) Date of Birth: 05/21/1965 Age at AOD: 57 years 1
month (Advanced Age) AOD: 07/01/2022 Special Indications: Representative
DI Claim Information
Initial Filing Date: 07/14/2022 Age at Initial Filing Date: 57 years 1 month
(Advanced Age)
Allegations of Impairments
The individual filed for Recon claim for disability on 07/14/2022 due to the
following illnesses, injuries, or conditions: hip pain, nerve pain neck area,
insomnia, and spine impairment The individual alleges inability to function and/
or work as of: 07/01/2022
Technic",18.0
" individual alleges inability to function and/
or work as of: 07/01/2022
Technical Issues
Prior Filings
Decision /
Determination
Date
Decision Claim
Level
Claim
Type
Filing
Type
Initial
Filing
Date
Protective
Filing
Date
AC
Remand
Date
10/01/2013
DE
Initial DI
Electronic 06/18/2013
Does the individual have prior filings? Yes Does Collateral Estoppel apply? No Has
the individual worked since last completing a disability report? No Alleged Onset
Date (AOD): 07/01/2022 Has the individual performed work after the Alleged Onset
Date (AOD)? No Has any period(s) of work been determined to be an unsuccessful
work attempt, or involved subsidies/special conditions, impairment-related work
expenses, or other technical issue(s)? No Does the DDS need to correct the POD?
",18.0
"ue(s)? No Does the DDS need to correct the POD?
",18.0
"Yes POD Provided by FO: DI not specified Revised POD: 07/14/2022 Reason for
correcting POD: Other Explanation of reason for correcting POD: PFD
Evidence of Record
2 of 8: 3A: Disability Determination Explanation - DDE
Evidence Received
DMA Received Date
Source
Doc Name
Case
Level
Evidence
Found
2023-08-11T16:20:45.000Z STERLING HEALTH
CLINIC
MER
Recon
Medical
Evidence
2023-07-26T13:26:31.000Z Arthur Miller
3373-Funct
Rprt-Adult
Recon
Non-Medical
Evidence
2023-04-26T13:51:09.000Z METRO HEALTH &
WELLNESS
MER
Initial
Medical
Evidence
2023-04-19T15:04:22.000Z METRO HEALTH &
WELLNESS
MER
Initial
Medical
Evidence
2023-03-08T17:05:46.000Z CENTRAL PLAINS
MEDICAL CENTER
MER
Initial
Medical
Evidence
2023-02-22T22:27:07.000Z
5002 ROC
Initial
Non-Medical
Evidence
2023-02-18T03:12:53.000Z METRO HEALTH ",19.0
"00Z
5002 ROC
Initial
Non-Medical
Evidence
2023-02-18T03:12:53.000Z METRO HEALTH &
WELLNESS CENTER MER
Initial
Medical
Evidence
2023-02-09T23:41:56.000Z
5002 ROC
Initial
Non-Medical
Evidence
2023-02-09T22:55:16.000Z METRO HEALTH &
WELLNESS CENTER MER
Initial
Medical
Evidence
2023-02-09T21:05:49.000Z Unity Care Clinic
HIT MER
Initial
No Records/
Not Patient
2023-02-07T00:04:57.000Z
5002 ROC
Initial
Non-Medical
Evidence
2023-02-06T23:56:30.000Z
5002 ROC
Initial
Non-Medical
Evidence
2023-02-06T13:04:58.000Z Unity Care Clinic
HIT
Response
Initial
No Records/
Not Patient
",19.0
"DMA Received Date
Source
Doc Name
Case
Level
Evidence
Found
2023-02-04T00:17:52.000Z Unity Care Clinic
HIT
Response
Initial
No Records/
Not Patient
2023-01-27T02:11:36.000Z
5002 ROC
Initial
No Records/
Not Patient
2023-01-26T18:51:25.000Z WILLOW CREEK
MEDICAL CENTER
MER
Initial
Medical
Evidence
2023-01-19T01:10:51.000Z METRO HEALTH &
WELLNESS CENTER MER
Initial
No Records/
Not Patient
2022-12-28T22:57:57.000Z
5002 ROC
Initial
No Records/
Not Patient
2022-12-14T02:29:06.000Z
5002 ROC
Initial
No Records/
Not Patient
2022-12-09T22:06:53.000Z
3373-Funct
Rprt-Adult
Initial
Non-Medical
Evidence
2022-08-15T14:52:32.000Z
3369-Work
Hx
Initial
Non-Medical
Evidence
2013-09-28T09:53:35.000Z WELLNESS
CONSULTANTS LTD
MER
Copied Medical
Evidence
Case Notes
Case Notes
Last Updated Author Category Subject ",20.0
"ied Medical
Evidence
Case Notes
Case Notes
Last Updated Author Category Subject Note
Medical Advisor 416 Evaluation
No Medical Advisor 416 Evaluations have been associated with this claim.
Findings of Fact and Analysis of Evidence
Back to top 3 of 8: 3A: Disability Determination Explanation - DDE
Analysis RECONSIDERATION Denial: 04/28/2023 +++++ Y: DR. Elara Vance ""No
MDMI"" +++++ P: DR. Eleanor Vance ""Light"" AGE: 51 PRIOR FILINGS: Yes
ALLEGATIONS: hip pain, nerve pain neck area, insomnia, and spine impairment
",20.0
"EDUCATION: 12th PFD: 07/14/2022 DI: T-16 FORMS ========ADL========
07/26/2023 CLMT ADL'S - Ability to work is limited due to inability to stand for
prolonged periods, unable to lift objects overhead. Daily routine: arise from bed,
personal hygiene, eat breakfast, minor home maintenance, local news, stream
entertainment, dinner, bed. Does not care for anyone, no pets. Personal care: takes
longer to dress due to inability to lift overhead. No special reminders for personal
needs, grooming or meds. Simple meals. Is able to do laundry, dusting,
dishwashing, vacuuming. Drives alone, shops in stores, handles finances. Hobbies:
tv, listening to music, video gaming, solving puzzles, chess. Social activities: in
person, on the phone, texting, mail. RT handed. How well do you handle stress
""minimall",21.0
